주문일자,지역,채널,카테고리,수량,단가,할인율,매출
2024-02-02,서울,모바일앱,식품,6,82979,,413235.0
2024-10-10,부산,오프라인,식품,6,149914,0.27,656623.0
2024-08-27,서울,온라인,의류,1,22418,0.08,20625.0
2024-06-09,서울,오프라인,도서,2,180806,0.01,357996.0
2024-06-07,대구,온라인,식품,7,105531,0.23,568812.0
2024-11-10,부산,오프라인,도서,7,121739,0.21,673217.0
2024-02-01,대전,오프라인,도서,7,41931,0.16,246554.0
2024-09-12,서울,온라인,가전,2,108072,0.24,164269.0
2024-03-14,인천,온라인,뷰티,6,5615,0.25,25268.0
2024-02-04,부산,오프라인,가전,1,178581,0.18,146436.0
2024-07-11,인천,온라인,도서,2,151029,0.29,214461.0
2024-12-23,대구,모바일앱,의류,6,93620,0.22,438142.0
2024-09-26,부산,오프라인,도서,7,167988,0.2,940733.0
2024-10-05,대전,오프라인,도서,8,163256,0.11,1162383.0
2024-09-19,서울,온라인,도서,11,28220,0.0,310420.0
2024-10-14,서울,오프라인,도서,10,15500,0.07,144150.0
2024-07-06,인천,모바일앱,뷰티,5,54444,0.23,209609.0
2024-02-16,광주,온라인,도서,9,5251,0.21,37335.0
2024-11-03,서울,온라인,뷰티,2,116760,0.1,210168.0
2024-06-13,부산,온라인,의류,10,108017,0.19,874938.0
2024-07-02,광주,온라인,식품,5,109905,0.06,516553.0
2024-05-15,인천,오프라인,식품,9,19354,0.08,160251.0
2024-03-07,대전,온라인,도서,11,184048,0.28,1457660.0
2024-12-05,부산,오프라인,의류,8,195425,0.12,1375792.0
2024-10-13,인천,온라인,가전,11,120155,0.07,1229186.0
2024-08-23,서울,온라인,식품,1,6072,0.15,5161.0
2024-05-27,대전,온라인,뷰티,2,82214,0.12,144697.0
2024-10-28,부산,모바일앱,도서,7,145039,0.22,791913.0
2024-07-18,인천,오프라인,도서,6,151001,0.29,643264.0
2024-06-11,부산,온라인,가전,2,52460,0.18,86034.0
2024-06-13,대구,오프라인,가전,8,165426,0.18,1085195.0
2024-03-24,인천,온라인,식품,1,193672,0.11,172368.0
2024-02-03,부산,온라인,뷰티,11,104191,0.17,951264.0
2024-07-21,대전,온라인,의류,2,79400,0.1,142920.0
2024-11-20,부산,모바일앱,도서,5,107595,0.0,537975.0
2024-01-24,대구,오프라인,의류,10,10320,0.26,76368.0
2024-11-10,서울,오프라인,의류,6,107072,0.13,558916.0
2024-10-29,부산,온라인,도서,9,10252,0.15,78428.0
2024-04-11,부산,온라인,뷰티,8,11783,0.03,91436.0
2024-08-19,서울,오프라인,의류,11,112907,0.25,931483.0
2024-03-01,서울,온라인,의류,6,104604,0.05,596243.0
2024-10-04,인천,모바일앱,뷰티,11,197408,0.12,1910909.0
2024-09-13,인천,오프라인,식품,6,103996,0.25,467982.0
2024-05-09,인천,온라인,뷰티,10,196055,0.14,1686073.0
2024-01-25,서울,오프라인,의류,9,162386,0.28,1052261.0
2024-12-21,서울,모바일앱,뷰티,2,70768,0.06,133044.0
2024-06-12,서울,온라인,의류,8,185603,0.21,1173011.0
2024-11-22,인천,오프라인,도서,10,99127,0.29,703802.0
2024-09-05,광주,모바일앱,식품,2,121014,0.16,203304.0
2024-10-11,서울,온라인,도서,10,24588,0.21,194245.0
2024-10-05,인천,모바일앱,식품,2,46454,0.12,81759.0
2024-03-12,서울,온라인,도서,10,106824,0.23,822545.0
2024-05-13,서울,오프라인,도서,9,57891,0.27,380344.0
2024-06-19,서울,오프라인,의류,2,121941,0.21,192667.0
2024-07-01,서울,오프라인,의류,8,20582,0.28,118552.0
2024-01-17,인천,온라인,식품,2,53957,0.18,88489.0
2024-07-19,대전,오프라인,도서,7,134706,0.17,782642.0
2024-02-26,서울,온라인,의류,11,124362,0.09,1244864.0
